treatment,segment,group,VOLT_FLAG,SCORE,cleaned_comment,date_converted,month,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,sentiment_textblob,sentiment_category,assigned_topic,meaningful_topic,sentiment_positive,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,has_agent_personality,has_clarity,has_reassurance,is_pilot,is_volt,pilot_volt_interaction
control,Non-VOLT,Non-VOLT_control,,7,good service trying get talk human person really hhard people use use good english therefore easy communicate,2023-05-01,5,4.0,8.0,7.0,9.0,7.0,0.3388888888888888,positive,1,True,1,0,1,0,0,0,0,0,0,1,0,0,0,0
control,VOLT,VOLT_control,yes,7,package looks competitive opted support company representative missed voucher offer good also referrer struggling access account password reset working,2023-05-01,5,7.0,8.0,8.0,9.0,9.0,0.7,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,0,router cover whole house computer back house ran slow also would need keep answer phone hive hub front room good rang cancel told least day delay going pay even though cancelling next day activation service also told high connection charge case registered service told would connection charge pointed telephone operator checked agreed connection charge would paying service next seven days least happy used service two days day activated day cancelled wed 3rd may thursday 4th may even connect use company box,2023-05-01,5,2.0,0.0,7.0,10.0,1.0,0.0872727272727272,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,9,best broadband,2023-05-01,5,10.0,10.0,10.0,10.0,9.0,1.0,positive,5,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,helpful reliable stick work man answered request caring efficient say wifi installed another weeks used company media years,2023-05-01,5,10.0,,10.0,10.0,10.0,0.0,neutral,0,True,0,1,0,0,0,0,0,0,1,0,1,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,good internet connection,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.7,positive,5,True,1,0,0,0,0,0,1,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,agent helpful start finish made sure got right package best price,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.5952380952380952,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,7,easy speak one problem,2023-05-01,5,5.0,7.0,7.0,9.0,5.0,0.4333333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,1,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,3,poor customer care told wait engineer day nobody arrived call tell going happen,2023-05-01,5,5.0,7.0,10.0,10.0,9.0,-0.4,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,agent came polite helpful although told phone boxes wires house quick set allocated enough time stayed solved problem explained everything worked,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.1666666666666666,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,0,customer service awful really need ditch overseas call centers kindness understanding voice long way feel contempt operator voices sniggering laughing say cannot understnd saying feels intentional cannot quite get words due strong accents saving grace physical connection stability thankfully connection quality good rarely ever thank goodness contact call centers would touch barge pole otherwise take look broadband whos operators absolutely marvellous lessons learned brushed carpet haha,2023-05-01,5,9.0,0.0,1.0,2.0,1.0,0.078030303030303,neutral,0,True,0,1,0,0,0,0,0,0,0,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,polite engineer consulted every step patient,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.0,neutral,3,True,0,0,0,0,1,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,8,helpful informant,2023-05-01,5,,7.0,9.0,9.0,8.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,polite helpful phone staff reached made extra effort call back help move internet address even requested knew reach searching post code next address via company media website went way help change account details well kind,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.15,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,fantastic customer experience,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.4,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,quick prompt friendly service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.3541666666666666,positive,4,True,1,0,0,0,0,1,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,colleague called polite professional efficient would recommend company anyone knew one setting,2023-05-01,5,5.0,5.0,10.0,10.0,8.0,0.1,neutral,3,True,0,0,0,0,1,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,lady rang promised helpful friendly,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,0,call company everyday spoke least different people different departments time explain situation one member said yes activate internet different department got department said done manager available talk told activation happen different dates due companys delays caused loose wages work work home rely internet work son disabled uses internet communicate days non communication far speaking suppliers cancelling company within 30day cooling period circumstances recommend company publishing experience social media need get departments organised leadership needs held accountable staff clearly need adequate training,2023-05-01,5,0.0,0.0,0.0,0.0,0.0,0.0046245421245421,neutral,0,True,0,1,0,0,0,0,0,0,0,1,0,0,0,0
control,VOLT,VOLT_control,yes,10,james helpful help get best package family can't wait 31st may full installation wish sooner,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.675,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,service fabulous,2023-05-01,5,10.0,10.0,9.0,9.0,9.0,0.4,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,everything made extremely clear agent dealt polite friendly promised call back actually planned,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.11875,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,helpful agent clearly stated everything needed know took whole process polite professional manner stating service would start expect equipment,2023-05-01,5,9.0,8.0,10.0,10.0,9.0,0.1333333333333333,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,polite helpful got speak somebody,2023-05-01,5,6.0,5.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,6,found service far good however research services evaluation company customer service responding issues quite poor worries reserve judgement,2023-05-01,5,10.0,7.0,10.0,10.0,8.0,0.1333333333333333,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,man spoke polite helpful,2023-05-01,5,5.0,5.0,9.0,8.0,8.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,fantastic customer service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.4,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,coz davie lovely great salesman local hope maintain excellent customer service given call previous customer company customer service absolutely pants,2023-05-01,5,5.0,10.0,10.0,10.0,10.0,0.3888888888888889,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,angie's customer service excellent took options clear comprehensive way made sure things got sorted really quickly super friendly talk,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.4616666666666667,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,technician excellent,2023-05-01,5,4.0,6.0,4.0,7.0,10.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,representative helpful gave good advice understood needs,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.7,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,excellent service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,quick easy set,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.3833333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,good customer service,2023-05-01,5,10.0,7.0,10.0,10.0,6.0,0.7,positive,1,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,3,called took items need tried cancel part poor reduction removing item went cancel could understand call handler ask repeat said back still cancelled hope get british native speaker next time,2023-05-01,5,,5.0,8.0,8.0,4.0,-0.1,neutral,0,True,0,1,0,0,0,0,0,0,0,1,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,good customer service polite staff,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.7,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,experience really good price bit expensive good experience company media far engineer came address professional friendly really good job running wires nice tidy exactly wanted,2023-05-01,5,9.0,8.0,9.0,8.0,8.0,0.3625,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,good service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,mat incredibly helpful friendly made feel ease trying decide going pressure laid facts remained friendly called engineer come spoke cary also incredibly helpful booked someone within day polite talkative finally came colleague whos name unable get install great made process easy understand process even helped cable know damaged start end process excellent special thank helped,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.464047619047619,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,best technician ever met professional gentle person calm cool personality even though delay opening door waited patiently cool overall installation went fast perfectly thank providing professionals good character rather providers one point right sheets,2023-05-01,5,10.0,8.0,10.0,10.0,10.0,0.4077922077922078,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,10,proactive called added basket saved call next day filled request information outside house cabling contractor arrived hours later fit cable unbelievable service,2023-05-01,5,5.0,10.0,10.0,8.0,10.0,0.0916666666666666,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,VOLT,VOLT_control,yes,10,friendly quick service,2023-05-01,5,10.0,10.0,10.0,10.0,10.0,0.3541666666666666,positive,4,True,1,0,0,0,0,1,0,0,1,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,engineer came help installation abbie went beyond understand wanted setup make sure everything done properly happy service,2023-05-01,5,8.0,6.0,8.0,8.0,8.0,0.65,positive,3,True,1,0,0,0,1,0,0,0,0,1,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,9,reason following joining company subsequent next day company team fitted equipment outside cottage newtongrange thankyou much promt service one small complaint difficulty obtaining due financial reward sincerely,2023-06-01,6,10.0,10.0,8.0,10.0,8.0,0.0025,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,VOLT,VOLT_control,yes,9,friendly helpful,2023-06-01,6,,9.0,9.0,10.0,9.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,0,1,0
control,VOLT,VOLT_control,yes,9,great service sales consultant great deal offered,2023-06-01,6,9.0,9.0,9.0,9.0,9.0,0.8,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,speed awesome shut customer services excellent staff highly cooperative,2023-06-01,6,10.0,10.0,10.0,10.0,10.0,0.7200000000000001,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,fast internet,2023-06-01,6,9.0,10.0,10.0,10.0,6.0,0.2,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,0,0,0
control,Non-VOLT,Non-VOLT_control,,10,helpful efficient service competitive broadband package,2023-06-01,6,10.0,10.0,10.0,10.0,10.0,0.0,neutral,5,True,0,0,0,0,0,0,1,0,1,0,0,0,0,0
control,VOLT,VOLT_control,yes,0,terrible customer service week later wifi still set nobody contacted since said would sorted within hrs someone would call,2023-06-01,6,0.0,5.0,0.0,0.0,0.0,-0.5,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,0,1,0
control,Non-VOLT,Non-VOLT_control,,10,reson one emplyee rosie helped going extra mile phone ranking lady online sale department performance good,2023-06-01,6,7.0,10.0,10.0,10.0,8.0,0.35,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,0,0,0
pilot,VOLT,VOLT_pilot,yes,7,prompt service,2023-01-03,1,7.0,6.0,7.0,7.0,7.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,young man visited set internet respectful informative knowledgeable,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.3,positive,5,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,0,internet working team pushy despite put account details talk someone phone repeat frustrating soul destroying experience,2023-01-03,1,0.0,2.0,0.0,0.0,0.0,-0.3,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,good service,2023-01-03,1,9.0,9.0,9.0,9.0,9.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,7,gave setting broadband package one employer's team going payments bundle tried charge set fee new free could say mistake wit's pointed free charge would charged bill let check put right moved carried deal infront apart helpful,2023-01-03,1,,10.0,3.0,8.0,7.0,0.3055194805194805,positive,0,True,1,1,0,0,0,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,affordable price broadband speed,2023-01-03,1,10.0,10.0,9.0,10.0,9.0,0.0,neutral,5,True,0,0,0,0,0,0,1,0,0,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,service superp really appreciate turnaround well constant updates regarding progress company media team friendly willing assist recommend company media friends,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.20625,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,satisfied service rendered company media staff technician came install black box nice,2023-01-03,1,10.0,9.0,8.0,9.0,9.0,0.3111111111111111,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,liked professionalism,2023-01-03,1,9.0,10.0,10.0,10.0,10.0,0.6,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,2,sales team sent wrong details contract wasted hours trying get sorted still sorted,2023-01-03,1,5.0,5.0,1.0,2.0,5.0,-0.35,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,adam clearly knew products clear trying oversell offering best product available family needs dealt swiftly clearly explained process,2023-01-03,1,5.0,10.0,10.0,10.0,10.0,0.34,positive,3,True,1,0,0,0,1,0,0,0,0,1,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,7,far many mails messages plus two days since ordering phone line yet installed,2023-01-03,1,5.0,5.0,9.0,10.0,5.0,0.3,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,satisfied upto give know running,2023-01-03,1,9.0,10.0,10.0,10.0,10.0,0.5,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,happy maria customer service centre stephen technician helpful understanding,2023-01-03,1,10.0,9.0,10.0,10.0,10.0,0.8,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,4,well give set went fairly smooth next day call update bank details found ongoing broadband issue area,2023-01-03,1,5.0,9.0,7.0,10.0,9.0,0.2,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,helpful kind got everything sorted quickly told offers could get lovely guy give raise,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.3833333333333333,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,helpful polite well informed,2023-01-03,1,8.0,8.0,9.0,10.0,7.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,0,basically waste time install anything interested trying help set second chap gave information telling would run cables outside house inside well impressed also told someone would touch efforts happened cancelled set direct debit,2023-01-03,1,0.0,0.0,0.0,0.0,0.0,0.1916666666666666,positive,0,True,1,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,polite extremely helpful great service,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.3375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,7,expensive best value around address,2023-01-03,1,8.0,9.0,9.0,9.0,8.0,0.25,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,good communication helpful,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.7,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,good service clear concise,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.3,positive,1,True,1,0,1,0,0,0,0,0,0,1,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,4,found difficult understand agents phone rather agreeing eyes tried sell something different,2023-01-03,1,,5.0,5.0,7.0,3.0,-0.25,negative,0,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,staff knowledgeable products know sell,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,8,staff nice patient assisting choose plan,2023-01-03,1,8.0,8.0,8.0,8.0,8.0,0.6,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,phone conversation representative well explicit already sorted order phone great job,2023-01-03,1,,9.0,9.0,8.0,8.0,0.8,positive,3,True,1,0,0,0,1,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,guys rang pleasant explained exactly going home time,2023-01-03,1,10.0,9.0,9.0,9.0,9.0,0.4916666666666666,positive,3,True,1,0,0,0,1,0,0,0,0,1,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,9,accommodated request preferred cable routing work carried swiftly,2023-01-03,1,9.0,8.0,9.0,9.0,9.0,0.0,neutral,4,True,0,0,0,0,0,1,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,spoke adam helpful,2023-01-03,1,9.0,9.0,9.0,9.0,9.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,friendly helpful,2023-01-03,1,5.0,8.0,,,,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,needed sim urgently told get wednesday even though called monday evening got sim wednesday told would,2023-01-03,1,10.0,7.0,10.0,10.0,10.0,0.0,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,professional came right time,2023-01-03,1,10.0,9.0,10.0,10.0,9.0,0.1928571428571428,positive,4,True,1,0,0,0,0,1,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,dealt professional manner everything fully explained,2023-01-03,1,10.0,10.0,10.0,10.0,8.0,0.1,neutral,3,True,0,0,0,0,1,0,0,0,1,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,customer service point offer given excellent,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,1.0,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,olivia help friendly,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,efficient helpful,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,8,yes phoned lady spoke said would phone back much thought decided canceled package hope answers question,2023-01-03,1,,,,,,0.1,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,terms customer service pretty good however icing cake engineer setup company box name jeremiah helpful kind real asset company could give would ðxü,2023-01-03,1,10.0,9.0,7.0,7.0,7.0,0.4374999999999999,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,really friendly,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,2,True,1,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,helpful,2023-01-03,1,10.0,10.0,10.0,10.0,10.0,0.0,neutral,2,True,0,0,0,1,0,0,0,0,1,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,6,took three long frustrating calls get agree new contract one point speaking advisor mins put hold call ended took hours total,2023-01-04,1,,5.0,9.0,9.0,3.0,-0.0784090909090909,neutral,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,10,offered best option suits friendly conversation helpful,2023-01-04,1,,10.0,10.0,10.0,10.0,0.6875,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,1,unhappy read installation fee apartment already assigned company previous tennant engineer came install anything took delivery box installed,2023-01-04,1,,0.0,,9.0,,-0.3833333333333333,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,0,awful service support work sales help site doesnt work really disappointed,2023-01-04,1,0.0,0.0,5.0,5.0,0.0,-0.875,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great customer service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.8,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,good service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,superb service helpful agent,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,1.0,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,massive drama shell energy moving home bad customer service spoke company within days active broadband house something hrs phone,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,-0.2777777777777777,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,excellent service,2023-01-04,1,9.0,8.0,9.0,9.0,9.0,1.0,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,company media guy helpful,2023-01-04,1,8.0,8.0,9.0,9.0,9.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,guided process phone epitome empathetic warm professionalism customer service personnel good products remain competitive see becoming long term loyal customer,2023-01-04,1,8.0,10.0,10.0,10.0,9.0,0.4066666666666666,positive,3,True,1,0,0,0,1,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,0,extremely disappointed customer service team still awaiting response fraud prevention team waste hours time already service yet receive,2023-01-04,1,0.0,0.0,0.0,0.0,0.0,-0.475,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,0,internet crap get signal half stair call complain get fobbed staff trained robots guys make want hang call every week sell mobile contract told stop taken numbers dates call give ofcom harassment,2023-01-04,1,0.0,0.0,0.0,0.0,0.0,-0.4833333333333333,negative,0,True,0,1,0,0,0,0,0,0,0,0,0,1,1,1
pilot,VOLT,VOLT_pilot,yes,10,brilliant customer service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.9,positive,6,True,1,0,0,0,0,0,0,1,0,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,helpful friendly advisor good package deal,2023-01-04,1,9.0,9.0,9.0,9.0,9.0,0.5375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,efficient friendly,2023-01-04,1,,9.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,patient call handler explained everything detail good professionalism polite voice tone throughout upsell pressurised get services,2023-01-04,1,9.0,5.0,10.0,10.0,8.0,0.7,positive,3,True,1,0,0,0,1,0,0,0,1,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,9,percy helpful polite patient,2023-01-04,1,9.0,9.0,8.0,9.0,7.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,3,despite entered data online everything phone extremely difficult understand advisor,2023-01-04,1,8.0,10.0,6.0,7.0,5.0,-0.5,negative,0,True,0,1,0,0,0,0,0,0,0,1,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,10,friendly adviser,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.375,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,easy set process helpful staff phone,2023-01-04,1,10.0,10.0,10.0,10.0,9.0,0.4333333333333333,positive,1,True,1,0,1,0,0,0,0,0,1,1,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,great service friendly staff,2023-01-04,1,6.0,10.0,10.0,10.0,5.0,0.5875,positive,1,True,1,0,1,0,0,0,0,0,1,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,quick service,2023-01-04,1,10.0,10.0,9.0,10.0,6.0,0.3333333333333333,positive,4,True,1,0,0,0,0,1,0,0,0,0,0,1,0,0
pilot,Non-VOLT,Non-VOLT_pilot,,10,good price service,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.7,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
pilot,VOLT,VOLT_pilot,yes,9,polite informative,2023-01-04,1,9.0,9.0,9.0,10.0,9.0,0.0,neutral,1,True,0,0,1,0,0,0,0,0,1,0,0,1,1,1
pilot,Non-VOLT,Non-VOLT_pilot,,9,great price,2023-01-04,1,10.0,10.0,10.0,10.0,10.0,0.8,positive,2,True,1,0,0,1,0,0,0,0,0,0,0,1,0,0
